
2024/05/11 (01:18:34) | ===> btop++ v.1.3.2
2024/05/11 (01:18:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (01:22:32) | ===> btop++ v.1.3.2
2024/05/11 (01:22:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/11 (16:46:30) | ===> btop++ v.1.3.2
2024/05/11 (16:46:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (18:06:42) | ===> btop++ v.1.3.2
2024/05/12 (18:06:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (18:10:10) | ===> btop++ v.1.3.2
2024/05/12 (18:10:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (21:20:03) | ===> btop++ v.1.3.2
2024/05/12 (21:20:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (22:43:35) | ===> btop++ v.1.3.2
2024/05/12 (22:43:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/12 (23:27:00) | ===> btop++ v.1.3.2
2024/05/12 (23:27:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/13 (16:48:26) | ===> btop++ v.1.3.2
2024/05/13 (16:48:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/14 (00:49:15) | ===> btop++ v.1.3.2
2024/05/14 (00:49:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/16 (14:13:31) | ===> btop++ v.1.3.2
2024/05/16 (14:13:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/17 (23:50:13) | ===> btop++ v.1.3.2
2024/05/17 (23:50:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/20 (01:16:46) | ===> btop++ v.1.3.2
2024/05/20 (01:16:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (02:38:49) | ===> btop++ v.1.3.2
2024/05/22 (02:38:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (02:40:53) | ===> btop++ v.1.3.2
2024/05/22 (02:40:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (15:24:47) | ===> btop++ v.1.3.2
2024/05/22 (15:24:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (03:35:46) | ===> btop++ v.1.3.2
2024/05/23 (03:35:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/23 (03:37:50) | ===> btop++ v.1.3.2
