a52dec 0.8.0-2
aalib 1.4rc5-17
abseil-cpp 20230125.3-2
accounts-qml-module 0.7-4
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alacritty 0.12.2-1
alpm_octopi_utils 1.0.2-3.2
alsa-card-profiles 1:0.3.76-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
android-udev 20230614-1
ant-dracula-kvantum-theme-git v4.0.0.r21.g2cb90c9-1
ant-dracula-theme-git 4.0.0.r21.g2cb90c9-1
aom 3.6.1-1
apr 1.7.3-1
apr-util 1.6.3-1
archlinux-keyring 20230704-1
archlinux-xdg-menu 0.7.6.6-1
argon2 20190702-5
arj 3.10.22-13
at-spi2-core 2.48.3-2
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
autorandr 1.14-1
avahi 1:0.8+r22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4
babl 0.1.106-1
base 3-1
bash 5.1.016-4
bash-completion 2.11-3
bat 0.23.0-3
bind 9.18.17-1
binutils 2.41-1
bison 3.8.2-6
blas 3.11.0-2
bluez 5.68-1
bluez-libs 5.68-1
bolt 0.9.5-1
boost-libs 1.81.0-7
breeze-icons 5.108.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-12
btrfs-assistant 1.8-2
btrfs-progs 6.3.3-1
btrfsmaintenance 0.5-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.92-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cblas 3.11.0-2
cdparanoia 10.2-8
chaotic-keyring 20230616-1
chaotic-mirrorlist 20230710-2
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.221-1
confuse 3.3-3
connman 1.41-1
coreutils 9.3-1
cpio 2.14-1
cryptsetup 2.6.1-3
curl 8.2.1-1
curlftpfs 0.9.2-8
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-glib 0.112-3
dconf 0.40.0-2
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dialog 1:1.3_20230209-1
diffutils 3.10-1
ding-libs 0.6.2-1
discount 2.2.7.c-1
djvulibre 3.5.28-5
dkms 3.0.11-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dracula-cursors-git v4.0.0.r21.g2cb90c9-1
dracut 059-2
duktape 2.7.0-6
dvgrab 3.5-13
e2fsprogs 1.47.0-1
ecryptfs-utils 111-7
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.12-1
eglexternalplatform 1.1-2
electron25 25.3.2-1
enchant 2.3.4-2
espeak-ng 1.51.1-2
ethtool 1:6.4-1
exa 0.10.1-8
exfatprogs 1.2.1-1
exiv2 0.28.0-3
expac 10-5
expat 2.5.0-1
expect 5.45.4-4
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.32.1-1
fastfetch 1.12.2-1
fatresize 1.1.0-1
feh 3.10-1
ffmpeg 2:6.0-8
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
find-the-command-git 2.0.1.r0.gfecba1a-1.1
findutils 4.9.0-3
firedragon 115.0.2-1
fish 3.6.1-1
fish-autopair 1.0.4-1
flac 1.4.3-1
flashrom 1.2-4
flex 2.6.4-5
fluidsynth 2.3.3-1
fontconfig 2:2.14.2-1
fprintd 1.94.2-1
freeglut 3.4.0-1
freetype2 2.13.1-1
frei0r-plugins 2.3.0-2
fribidi 1.0.13-2
fscrypt 0.3.4-1
fuse-common 3.15.1-1
fuse2 2.9.9-4
fuse3 3.15.1-1
fwupd 1.9.3-1
fwupd-efi 1.4-1
fzf 0.42.0-1
game-devices-udev 0.22-0.2
garuda-assistant 2.7.6-1
garuda-bash-config 1.0.4-1
garuda-boot-options 1.0.3-1
garuda-browser-settings 1.2.3-1
garuda-common-settings 2.6.16-1
garuda-dracut-support 1.0.1-1
garuda-fish-config 1.5.15-1
garuda-gamer 1.1.9-1
garuda-hooks 2.10.1-1
garuda-hotfixes 1.1.2-1
garuda-icons r38.be2c9ae-1
garuda-libs 1.4.2-1
garuda-migrations 2.4.2-1
garuda-network-assistant 1.1.2-1
garuda-nvidia-config 1:r63.2f652e8-3
garuda-nvidia-prime-config 1:r63.2f652e8-3
garuda-qtile-settings 3.1.3-1
garuda-settings-manager 1.0.2-3
garuda-setup-assistant 3.1.11-1
garuda-starship-prompt 1.0.3-1
garuda-system-maintenance 2.0.5-1
garuda-update 4.2.2-1
garuda-video-linux-config 1:r63.2f652e8-3
garuda-wallpapers r86.e1486a1-1
garuda-welcome 1.2.1-1
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.6-1
gcc 13.2.1-2
gcc-libs 13.2.1-2
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-1
geoclue 2.7.0-1
geoip 1.6.12-2
geoip-database 20230719-1
gestures 0.3.1-1.3
gettext 0.22-1
ghostscript 10.01.2-1
giflib 5.2.1-2
gimp 2.10.34-2
git 2.41.0-2
glew 2.2.0-6
glib-networking 1:2.76.1-1
glib2 2.76.4-1
glibc 2.37-4
glibmm 2.66.6-1
glslang 12.3.1-2
glu 9.0.2-3
gmp 6.2.1-2
gnome-firmware 43.2-1
gnome-keyring 1:42.1-3
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnustep-base 1.29.0-2
gnutls 3.8.0-1
gobject-introspection 1.76.1-3
gobject-introspection-runtime 1.76.1-3
gparted 1.5.0-1
gperftools 2.10-3
gpgme 1.21.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-3
grub 2:2.12rc1-1
grub-btrfs 4.13-1
